Roots (x),Weights (w)
0.0006406357078939662,0.0016437269212656535
0.0033723945061157057,0.0038193081479241655
0.008274498464188151,0.005981424232156245
0.015326606336717785,0.008117666573216603
0.024498015371145765,0.010218469073834006
0.03574865349381967,0.012274605829829362
0.04902933528073733,0.014277075350321676
0.06428199210155183,0.016217117757592322
0.08143993005004896,0.018086248292087482
0.10042812291612901,0.019876293061265364
0.1211635407772807,0.021579424324239753
0.14355551329546784,0.023188194543252875
0.16750612630483364,0.02469556887368052
0.19291065002181318,0.026094955890028432
0.21965799703266792,0.027380236390765054
0.24763120806821104,0.028545790146615662
0.27670796344757215,0.02958652047116936
0.3067611179576664,0.030497876504369744
0.33765925683113207,0.03127587311046071
0.3692672703925127,0.031917108302858446
0.4014469448604441,0.0324187781194728
0.43405756672274254,0.03277868888327479
0.46695653804182213,0.03299526679440517
0.5,0.03306756481182762
0.5330434619581779,0.03299526679440517
0.5659424332772575,0.03277868888327479
0.5985530551395559,0.0324187781194728
0.6307327296074873,0.031917108302858446
0.6623407431688679,0.03127587311046071
0.6932388820423336,0.030497876504369744
0.7232920365524278,0.02958652047116936
0.752368791931789,0.028545790146615662
0.780342002967332,0.027380236390765054
0.8070893499781868,0.026094955890028432
0.8324938736951664,0.02469556887368052
0.8564444867045322,0.023188194543252875
0.8788364592227194,0.021579424324239753
0.899571877083871,0.019876293061265364
0.918560069949951,0.018086248292087482
0.9357180078984482,0.016217117757592322
0.9509706647192626,0.014277075350321676
0.9642513465061804,0.012274605829829362
0.9755019846288542,0.010218469073834006
0.9846733936632822,0.008117666573216603
0.9917255015358118,0.005981424232156245
0.9966276054938843,0.0038193081479241655
0.999359364292106,0.0016437269212656535
